,id,response,true_score
540,13306, The DNA splits at the DNA helicase.2 The RNA attaches to the DNA3 The mRNA implants its chromosomes 4 The mRNA extracts,0
541,13307,"protein maintains and repairs muscles, protein is in ribosomes, the ir in cells, and they also have 4 nucleotides",0
542,13308,mRNA takes over.,0
543,13309,"Four steps of protein synthesis are the RNA leaving the nucleus, RNA splits, mRNA merges, tRNA comes and merges with the mRNA.",0
544,13310,"After leaving the nucleus mRNA begins to go through out the body and cause infections. Then the b bodies go into the body looking for the infection and then they trace down the z  bodies, once the z bodies are called down they travel throughout the body and once they find the infection the track it down and fight it off.",0
545,13311,Protein synthesis is the evolution and mutation of proteins in the body. The first major step of this process is when mRNA leaves the nucleus. The second step would be when the mitochondria begins to send out messages to begin the process. The DNA then sends out coding for the process as well. The final step is the completed product.,0
546,13312,apportioning,0
547,13313,tRNA carries instructions from the nucleus to the amino acid sequence.,0
548,13314,"there is a start codon and tRNA carries instructions from the nucleus for the amino acid sequences, they are attached and translated",1
549,13315,It leaves the nucleus and then goes to the Golgi apparatus and then goes through a turbine like thing that turns it into protein.,0
550,13316,The four major steps are after the mRNA leaves it goes into the cytoplasm. Once it's in the cytoplasm it finds a tRNA strand and they combine together.,0
551,13317,  It replicates istelf  It starts to synthesize  Then it starts to change into protein  The final product you get is protein,0
552,13318,"transcription, replication, decryption, encryption",0
553,13319,"mRNA goes to different places. It gets different proteins. It acts as a messenger to different parts of the cell, then it leaves.",0
554,13320,transfer RNA it sends the mRNA to different parts of the bod y mRNA it sends messages to the cell floor also known as the cytoplasm,0
555,13321,the mRNA leaves the nucleus and takes the information it has to the tRNA which then translates the information to tell the cell what codon it needs to bring to complete the chain. Once that is done the tRNA sends the chain to be assembled. Once it is assembled the left over material is sent out of the cell to be disposed of.,1
556,13322,Protein synthesis can provide energy. It can help you gain weight and muscles. Finally it can help you when your older.,0
557,13323,First the DNA replicates. Then the DNA transcribes into RNA. Next the RNA replicates.,0
558,13324,mRNA tRNA rRNA RNA,0
559,13325,After mRNA leaves the nucleus it:           Gets split and goes through tRNA            Gets copied and attached again,0
560,13326,The cells are created then the cells divide     then they make more cells,0
561,13327,"four steps involved in protein synthesis is reproduction, mutation,",0
562,13328, The mRNA leaves the nucleus.  The mRNA turns to DNA so it is a stable chemical. I  now.  Then the DNA is stored for a long period of time.  Over time it is turned into Protein and that helps the cell.,0
563,13329,tRNA- transfers DNA,0
564,13330,"Metaphase, anaphase, telophase, and prophase.",0
565,13331,mRNA is copied into tRNA,0
566,13332,The mRNA leaves the  nucleus then goes to the cytoplasm where it gives its instructions to the rRNA. the rRNA reads those instructions and uses protein brought in by thru tRNA and assemble amino acids in the correct order.,2
567,13333,Anaphase combine Interphase move apart Metaphase Meet in the middle Prophase Divide into two,0
568,13334,"mRNA leaves the nucleus, and attaches to the ribosome. It then tells the ribosomes to make a sequence of nucleotides.",1
569,13335,first the proteins are gathered. next the proteins separate. then start to synthesize. if proteins don't move during process then they will be reproduced.,0
